step,loss_avg,loss_std,elapsed_s,lr,pcg_iters,sai_loss
18000,0.043593,0.003160,1.2606,1.562500e-06,147,0.501385
18100,0.043398,0.002823,1.2580,1.562500e-06,,
18200,0.043397,0.003160,1.2709,1.562500e-06,,
18300,0.043554,0.003099,1.2815,1.562500e-06,,
18400,0.043414,0.002964,1.2741,1.000000e-06,,
18500,0.044188,0.002989,1.2803,1.000000e-06,,
18600,0.044067,0.003187,1.2776,1.000000e-06,,
18700,0.043019,0.002907,1.2765,1.000000e-06,,
18800,0.043949,0.003048,1.2791,1.000000e-06,,
18900,0.043635,0.003148,1.2739,1.000000e-06,,
19000,0.043258,0.003244,1.2794,1.000000e-06,,
19100,0.043335,0.002971,1.2793,1.000000e-06,,
19200,0.043678,0.003015,1.2737,1.000000e-06,,
19300,0.043836,0.003100,1.2780,1.000000e-06,,
19400,0.043812,0.002845,1.2830,1.000000e-06,,
19500,0.044040,0.002825,1.2871,1.000000e-06,,
19600,0.043803,0.002612,1.2770,1.000000e-06,,
19700,0.043272,0.002920,1.2794,1.000000e-06,,
