#options: 3840x2160 fps=60/1 timebase=1/60 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=21 lookahead_threads=7 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=cbr mbtree=1 bitrate=105000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=105000 vbv_bufsize=210000 nal_hrd=none filler=0 ip_ratio=1.40 aq=1:1.00
in:108 out:105 type:P dur:2 cpbdur:2 q:14.23 aq:6.34 tex:4573237 mv:69210 misc:8881 imb:5238 pmb:4168 smb:22994 d:s ref:0 ;
in:106 out:106 type:B dur:2 cpbdur:2 q:14.81 aq:7.89 tex:8564 mv:1123 misc:5297 imb:5 pmb:1023 smb:31372 d:s ref:0 ;
in:105 out:107 type:b dur:2 cpbdur:2 q:14.82 aq:8.23 tex:2149 mv:260 misc:2727 imb:0 pmb:234 smb:32166 d:s ref:0 ;
in:107 out:108 type:b dur:2 cpbdur:2 q:14.81 aq:9.33 tex:9513 mv:1128 misc:6287 imb:0 pmb:1260 smb:31140 d:- ref:0 ;
in:112 out:109 type:P dur:2 cpbdur:2 q:13.89 aq:6.47 tex:4238302 mv:68791 misc:9371 imb:5474 pmb:4279 smb:22647 d:s ref:0 ;
in:110 out:110 type:B dur:2 cpbdur:2 q:14.24 aq:9.39 tex:131642 mv:1847 misc:10279 imb:7 pmb:2951 smb:29442 d:s ref:0 ;
in:109 out:111 type:b dur:2 cpbdur:2 q:14.24 aq:10.45 tex:9036 mv:1089 misc:6379 imb:0 pmb:1313 smb:31087 d:s ref:0 ;
in:111 out:112 type:b dur:2 cpbdur:2 q:14.24 aq:9.89 tex:7783 mv:1435 misc:6686 imb:0 pmb:1226 smb:31174 d:- ref:0 ;
in:116 out:113 type:P dur:2 cpbdur:2 q:13.90 aq:6.96 tex:4147995 mv:64832 misc:9133 imb:5519 pmb:3998 smb:22883 d:s ref:0 ;
in:114 out:114 type:B dur:2 cpbdur:2 q:14.01 aq:7.29 tex:667136 mv:1936 misc:9688 imb:8 pmb:6208 smb:26184 d:s ref:0 ;
in:113 out:115 type:b dur:2 cpbdur:2 q:14.02 aq:8.13 tex:6468 mv:769 misc:5035 imb:0 pmb:959 smb:31441 d:s ref:0 ;
in:115 out:116 type:b dur:2 cpbdur:2 q:14.01 aq:7.42 tex:8532 mv:1516 misc:8816 imb:2 pmb:2049 smb:30349 d:- ref:0 ;
in:120 out:117 type:P dur:2 cpbdur:2 q:14.32 aq:5.72 tex:7567578 mv:74237 misc:7705 imb:8461 pmb:3257 smb:20682 d:s ref:0 ;
in:118 out:118 type:B dur:2 cpbdur:2 q:14.37 aq:7.70 tex:4660557 mv:154983 misc:3620 imb:3375 pmb:4845 smb:24180 d:s ref:0 ;
in:117 out:119 type:b dur:2 cpbdur:2 q:14.37 aq:9.56 tex:6655 mv:902 misc:4931 imb:3 pmb:942 smb:31455 d:s ref:0 ;
in:119 out:120 type:b dur:2 cpbdur:2 q:14.37 aq:9.90 tex:6418 mv:918 misc:5112 imb:0 pmb:1101 smb:31299 d:- ref:0 ;
in:124 out:121 type:P dur:2 cpbdur:2 q:13.89 aq:5.46 tex:5378374 mv:71975 misc:10587 imb:5277 pmb:4998 smb:22125 d:s ref:0 ;
in:122 out:122 type:B dur:2 cpbdur:2 q:14.34 aq:7.72 tex:8082 mv:1217 misc:5013 imb:6 pmb:980 smb:31414 d:s ref:0 ;
in:121 out:123 type:b dur:2 cpbdur:2 q:14.35 aq:9.76 tex:1659 mv:193 misc:2364 imb:0 pmb:170 smb:32230 d:s ref:0 ;
in:123 out:124 type:b dur:2 cpbdur:2 q:14.35 aq:8.33 tex:2999 mv:793 misc:3448 imb:2 pmb:702 smb:31696 d:- ref:0 ;
in:128 out:125 type:P dur:2 cpbdur:2 q:13.59 aq:5.69 tex:4937737 mv:67049 misc:10430 imb:5703 pmb:4082 smb:22615 d:s ref:0 ;
in:126 out:126 type:B dur:2 cpbdur:2 q:13.89 aq:6.78 tex:7206 mv:1024 misc:4178 imb:7 pmb:800 smb:31593 d:s ref:0 ;
in:125 out:127 type:b dur:2 cpbdur:2 q:13.89 aq:9.21 tex:2118 mv:204 misc:2278 imb:0 pmb:155 smb:32245 d:s ref:0 ;
in:127 out:128 type:b dur:2 cpbdur:2 q:13.89 aq:7.48 tex:7314 mv:901 misc:4977 imb:1 pmb:964 smb:31435 d:- ref:0 ;
in:132 out:129 type:P dur:2 cpbdur:2 q:13.57 aq:6.13 tex:4293065 mv:67235 misc:9524 imb:5490 pmb:4035 smb:22875 d:s ref:0 ;
in:130 out:130 type:B dur:2 cpbdur:2 q:13.60 aq:6.70 tex:228733 mv:1965 misc:10854 imb:9 pmb:3710 smb:28681 d:s ref:0 ;
in:129 out:131 type:b dur:2 cpbdur:2 q:13.60 aq:7.14 tex:6537 mv:811 misc:4924 imb:0 pmb:933 smb:31467 d:s ref:0 ;
in:131 out:132 type:b dur:2 cpbdur:2 q:13.60 aq:7.25 tex:10377 mv:1716 misc:7843 imb:0 pmb:1647 smb:30753 d:- ref:0 ;
in:136 out:133 type:P dur:2 cpbdur:2 q:14.06 aq:6.16 tex:4298433 mv:65387 misc:8220 imb:5716 pmb:3483 smb:23201 d:s ref:0 ;
in:134 out:134 type:B dur:2 cpbdur:2 q:14.07 aq:8.23 tex:620529 mv:2259 misc:10436 imb:7 pmb:6142 smb:26251 d:s ref:0 ;
in:133 out:135 type:b dur:2 cpbdur:2 q:14.06 aq:8.66 tex:7159 mv:854 misc:5523 imb:0 pmb:1059 smb:31341 d:s ref:0 ;
in:135 out:136 type:b dur:2 cpbdur:2 q:14.07 aq:9.90 tex:8008 mv:1434 misc:8518 imb:2 pmb:1924 smb:30474 d:- ref:0 ;
in:140 out:137 type:P dur:2 cpbdur:2 q:14.29 aq:5.83 tex:5210602 mv:70648 misc:7494 imb:5295 pmb:3743 smb:23362 d:s ref:0 ;
in:138 out:138 type:B dur:2 cpbdur:2 q:14.29 aq:7.42 tex:4856648 mv:150073 misc:3359 imb:3287 pmb:4787 smb:24326 d:s ref:0 ;
in:137 out:139 type:b dur:2 cpbdur:2 q:14.29 aq:6.56 tex:6651 mv:915 misc:4146 imb:0 pmb:840 smb:31560 d:s ref:0 ;
in:139 out:140 type:b dur:2 cpbdur:2 q:14.29 aq:6.61 tex:4491 mv:799 misc:3694 imb:0 pmb:718 smb:31682 d:- ref:0 ;
in:144 out:141 type:P dur:2 cpbdur:2 q:13.77 aq:6.14 tex:5161937 mv:68853 misc:8002 imb:5306 pmb:3817 smb:23277 d:s ref:0 ;
in:142 out:142 type:B dur:2 cpbdur:2 q:14.31 aq:7.49 tex:8164 mv:1148 misc:4264 imb:7 pmb:834 smb:31559 d:s ref:0 ;
in:141 out:143 type:b dur:2 cpbdur:2 q:14.31 aq:7.05 tex:2507 mv:144 misc:2341 imb:0 pmb:169 smb:32231 d:s ref:0 ;
in:143 out:144 type:b dur:2 cpbdur:2 q:14.31 aq:7.96 tex:3961 mv:769 misc:3494 imb:1 pmb:687 smb:31712 d:- ref:0 ;
