#options: 1920x1080 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=21 lookahead_threads=7 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=cbr mbtree=1 bitrate=9650 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=9650 vbv_bufsize=19300 nal_hrd=none filler=0 ip_ratio=1.40 aq=1:1.00
in:139 out:136 type:P dur:2 cpbdur:2 q:22.69 aq:16.74 tex:640890 mv:13656 misc:4014 imb:1765 pmb:1410 smb:4985 d:- ref:0 ;
in:137 out:137 type:B dur:2 cpbdur:2 q:24.39 aq:23.74 tex:402875 mv:28308 misc:1129 imb:1168 pmb:1013 smb:5979 d:s ref:0 ;
in:136 out:138 type:b dur:2 cpbdur:2 q:24.39 aq:21.55 tex:585 mv:502 misc:1369 imb:0 pmb:2055 smb:6105 d:s ref:0 ;
in:138 out:139 type:b dur:2 cpbdur:2 q:24.39 aq:15.65 tex:942 mv:452 misc:1278 imb:1 pmb:277 smb:7882 d:- ref:0 ;
in:143 out:140 type:P dur:2 cpbdur:2 q:23.07 aq:15.60 tex:595625 mv:13310 misc:2561 imb:1818 pmb:765 smb:5577 d:- ref:0 ;
in:141 out:141 type:B dur:2 cpbdur:2 q:24.38 aq:16.77 tex:405235 mv:27017 misc:940 imb:1114 pmb:1032 smb:6014 d:s ref:0 ;
in:140 out:142 type:b dur:2 cpbdur:2 q:24.38 aq:15.08 tex:1696 mv:2471 misc:921 imb:4 pmb:2083 smb:6073 d:s ref:0 ;
in:142 out:143 type:b dur:2 cpbdur:2 q:24.38 aq:16.10 tex:616 mv:293 misc:1099 imb:0 pmb:253 smb:7907 d:- ref:0 ;
in:145 out:144 type:P dur:2 cpbdur:2 q:23.62 aq:15.37 tex:658973 mv:13564 misc:2079 imb:1635 pmb:755 smb:5770 d:- ref:0 ;
in:144 out:145 type:b dur:2 cpbdur:2 q:23.61 aq:15.26 tex:413433 mv:27771 misc:868 imb:1038 pmb:1060 smb:6062 d:s ref:0 ;
in:149 out:146 type:P dur:2 cpbdur:2 q:23.85 aq:16.07 tex:489233 mv:12828 misc:1859 imb:1677 pmb:607 smb:5876 d:s ref:0 ;
in:147 out:147 type:B dur:2 cpbdur:2 q:25.35 aq:24.68 tex:370620 mv:28204 misc:904 imb:1026 pmb:1070 smb:6064 d:s ref:0 ;
in:146 out:148 type:b dur:2 cpbdur:2 q:25.35 aq:5.00 tex:77 mv:241 misc:1082 imb:0 pmb:276 smb:7884 d:s ref:0 ;
in:148 out:149 type:b dur:2 cpbdur:2 q:25.36 aq:19.58 tex:711 mv:507 misc:1286 imb:2 pmb:315 smb:7843 d:- ref:0 ;
in:153 out:150 type:P dur:2 cpbdur:2 q:23.85 aq:15.74 tex:818262 mv:16716 misc:1966 imb:2116 pmb:912 smb:5132 d:s ref:0 ;
