#options: 1920x1080 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=21 lookahead_threads=7 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=cbr mbtree=1 bitrate=5800 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=5800 vbv_bufsize=11600 nal_hrd=none filler=0 ip_ratio=1.40 aq=1:1.00
in:66 out:66 type:B dur:2 cpbdur:2 q:3.67 aq:0.00 tex:211 mv:8 misc:493 imb:0 pmb:8 smb:8152 d:s ref:0 ;
in:65 out:67 type:b dur:2 cpbdur:2 q:3.67 aq:0.00 tex:294 mv:53 misc:517 imb:0 pmb:13 smb:8147 d:s ref:0 ;
in:67 out:68 type:b dur:2 cpbdur:2 q:3.67 aq:0.00 tex:296 mv:55 misc:513 imb:0 pmb:13 smb:8147 d:- ref:0 ;
in:72 out:69 type:P dur:2 cpbdur:2 q:3.72 aq:0.03 tex:5808 mv:191 misc:1209 imb:7 pmb:177 smb:7976 d:s ref:0 ;
in:70 out:70 type:B dur:2 cpbdur:2 q:3.72 aq:0.00 tex:211 mv:8 misc:493 imb:0 pmb:8 smb:8152 d:s ref:0 ;
in:69 out:71 type:b dur:2 cpbdur:2 q:3.72 aq:0.00 tex:294 mv:53 misc:517 imb:0 pmb:13 smb:8147 d:s ref:0 ;
in:71 out:72 type:b dur:2 cpbdur:2 q:3.72 aq:0.00 tex:296 mv:55 misc:513 imb:0 pmb:13 smb:8147 d:- ref:0 ;
in:76 out:73 type:P dur:2 cpbdur:2 q:3.68 aq:0.03 tex:5778 mv:195 misc:1219 imb:7 pmb:177 smb:7976 d:s ref:0 ;
in:74 out:74 type:B dur:2 cpbdur:2 q:3.72 aq:0.00 tex:211 mv:8 misc:493 imb:0 pmb:8 smb:8152 d:s ref:0 ;
in:73 out:75 type:b dur:2 cpbdur:2 q:3.72 aq:0.00 tex:294 mv:53 misc:517 imb:0 pmb:13 smb:8147 d:s ref:0 ;
in:75 out:76 type:b dur:2 cpbdur:2 q:3.72 aq:0.00 tex:296 mv:55 misc:513 imb:0 pmb:13 smb:8147 d:- ref:0 ;
in:80 out:77 type:P dur:2 cpbdur:2 q:3.64 aq:0.03 tex:5835 mv:194 misc:1211 imb:7 pmb:178 smb:7975 d:s ref:0 ;
in:78 out:78 type:B dur:2 cpbdur:2 q:3.68 aq:0.00 tex:211 mv:8 misc:493 imb:0 pmb:8 smb:8152 d:s ref:0 ;
in:77 out:79 type:b dur:2 cpbdur:2 q:3.68 aq:0.00 tex:294 mv:53 misc:517 imb:0 pmb:13 smb:8147 d:s ref:0 ;
in:79 out:80 type:b dur:2 cpbdur:2 q:3.68 aq:0.00 tex:296 mv:55 misc:513 imb:0 pmb:13 smb:8147 d:- ref:0 ;
in:84 out:81 type:P dur:2 cpbdur:2 q:3.69 aq:0.03 tex:5778 mv:195 misc:1219 imb:7 pmb:177 smb:7976 d:s ref:0 ;
in:82 out:82 type:B dur:2 cpbdur:2 q:3.69 aq:0.00 tex:211 mv:8 misc:493 imb:0 pmb:8 smb:8152 d:s ref:0 ;
